Date,Station,Value,lat,lng
2023-12-14,010 WEDDING,17,52.54291,13.34926
2023-12-15,010 WEDDING,25,52.54291,13.34926
2023-12-16,010 WEDDING,18,52.54291,13.34926
2023-12-17,010 WEDDING,12,52.54291,13.34926
2023-12-18,010 WEDDING,19,52.54291,13.34926
2023-12-19,010 WEDDING,20,52.54291,13.34926
2023-12-20,010 WEDDING,18,52.54291,13.34926
2023-12-21,010 WEDDING,14,52.54291,13.34926
2023-12-22,010 WEDDING,20,52.54291,13.34926
2023-12-23,010 WEDDING,23,52.54291,13.34926
2023-12-24,010 WEDDING,9,52.54291,13.34926
2023-12-25,010 WEDDING,15,52.54291,13.34926
2023-12-26,010 WEDDING,15,52.54291,13.34926
2023-12-27,010 WEDDING,25,52.54291,13.34926
2023-12-28,010 WEDDING,13,52.54291,13.34926
2023-12-29,010 WEDDING,9,52.54291,13.34926
2023-12-30,010 WEDDING,18,52.54291,13.34926
2023-12-31,010 WEDDING,19,52.54291,13.34926
2024-01-01,010 WEDDING,16,52.54291,13.34926
2024-01-02,010 WEDDING,21,52.54291,13.34926
2024-01-03,010 WEDDING,12,52.54291,13.34926
2024-01-04,010 WEDDING,11,52.54291,13.34926
2024-01-05,010 WEDDING,16,52.54291,13.34926
2024-01-06,010 WEDDING,10,52.54291,13.34926
2024-01-07,010 WEDDING,7,52.54291,13.34926
2024-01-08,010 WEDDING,16,52.54291,13.34926
2024-01-09,010 WEDDING,31,52.54291,13.34926
2024-01-10,010 WEDDING,43,52.54291,13.34926
2024-01-11,010 WEDDING,28,52.54291,13.34926
2024-01-12,010 WEDDING,22,52.54291,13.34926
2024-01-13,010 WEDDING,17,52.54291,13.34926
2024-01-14,010 WEDDING,18,52.54291,13.34926
2024-01-15,010 WEDDING,18,52.54291,13.34926
2024-01-16,010 WEDDING,25,52.54291,13.34926
2024-01-17,010 WEDDING,32,52.54291,13.34926
2024-01-18,010 WEDDING,36,52.54291,13.34926
2024-01-19,010 WEDDING,22,52.54291,13.34926
2024-01-20,010 WEDDING,18,52.54291,13.34926
2024-01-21,010 WEDDING,21,52.54291,13.34926
2024-01-22,010 WEDDING,14,52.54291,13.34926
2024-01-23,010 WEDDING,15,52.54291,13.34926
2024-01-24,010 WEDDING,15,52.54291,13.34926
2024-01-25,010 WEDDING,23,52.54291,13.34926
2024-01-26,010 WEDDING,27,52.54291,13.34926
2024-01-27,010 WEDDING,29,52.54291,13.34926
2024-01-28,010 WEDDING,29,52.54291,13.34926
2024-01-29,010 WEDDING,41,52.54291,13.34926
2024-01-30,010 WEDDING,39,52.54291,13.34926
2024-01-31,010 WEDDING,18,52.54291,13.34926
2024-02-01,010 WEDDING,21,52.54291,13.34926
2024-02-02,010 WEDDING,22,52.54291,13.34926
2024-02-03,010 WEDDING,21,52.54291,13.34926
2024-02-04,010 WEDDING,17,52.54291,13.34926
2024-02-05,010 WEDDING,18,52.54291,13.34926
2024-02-06,010 WEDDING,8,52.54291,13.34926
2024-02-07,010 WEDDING,19,52.54291,13.34926
2024-02-08,010 WEDDING,32,52.54291,13.34926
2024-02-09,010 WEDDING,24,52.54291,13.34926
2024-02-10,010 WEDDING,26,52.54291,13.34926
2024-02-11,010 WEDDING,13,52.54291,13.34926
2024-02-12,010 WEDDING,27,52.54291,13.34926
2024-02-13,010 WEDDING,25,52.54291,13.34926
2024-02-14,010 WEDDING,26,52.54291,13.34926
2024-02-15,010 WEDDING,23,52.54291,13.34926
2024-02-16,010 WEDDING,21,52.54291,13.34926
2024-02-17,010 WEDDING,12,52.54291,13.34926
2024-02-18,010 WEDDING,14,52.54291,13.34926
2024-02-19,010 WEDDING,18,52.54291,13.34926
2024-02-20,010 WEDDING,21,52.54291,13.34926
2024-02-21,010 WEDDING,17,52.54291,13.34926
2024-02-22,010 WEDDING,18,52.54291,13.34926
2024-02-23,010 WEDDING,16,52.54291,13.34926
2024-02-24,010 WEDDING,22,52.54291,13.34926
2024-02-25,010 WEDDING,28,52.54291,13.34926
2024-02-26,010 WEDDING,25,52.54291,13.34926
2024-02-27,010 WEDDING,10,52.54291,13.34926
2024-02-28,010 WEDDING,25,52.54291,13.34926
2024-02-29,010 WEDDING,25,52.54291,13.34926
2024-03-01,010 WEDDING,27,52.54291,13.34926
2024-03-02,010 WEDDING,24,52.54291,13.34926
2024-03-03,010 WEDDING,14,52.54291,13.34926
2024-03-04,010 WEDDING,13,52.54291,13.34926
2024-03-05,010 WEDDING,14,52.54291,13.34926
2024-03-06,010 WEDDING,17,52.54291,13.34926
2024-03-07,010 WEDDING,16,52.54291,13.34926
2024-03-08,010 WEDDING,16,52.54291,13.34926
2024-03-09,010 WEDDING,15,52.54291,13.34926
2024-03-10,010 WEDDING,10,52.54291,13.34926
2024-03-11,010 WEDDING,23,52.54291,13.34926
2024-03-12,010 WEDDING,42,52.54291,13.34926
2024-03-13,010 WEDDING,24,52.54291,13.34926
2024-03-14,010 WEDDING,22,52.54291,13.34926
2024-03-15,010 WEDDING,21,52.54291,13.34926
2024-03-16,010 WEDDING,19,52.54291,13.34926
2024-03-17,010 WEDDING,18,52.54291,13.34926
2024-03-18,010 WEDDING,11,52.54291,13.34926
2024-03-19,010 WEDDING,23,52.54291,13.34926
2024-03-20,010 WEDDING,33,52.54291,13.34926
2024-03-21,010 WEDDING,28,52.54291,13.34926
2024-03-22,010 WEDDING,21,52.54291,13.34926
2024-03-23,010 WEDDING,15,52.54291,13.34926
2024-03-24,010 WEDDING,8,52.54291,13.34926
2024-03-25,010 WEDDING,30,52.54291,13.34926
2024-03-26,010 WEDDING,23,52.54291,13.34926
2024-03-27,010 WEDDING,22,52.54291,13.34926
2024-03-28,010 WEDDING,13,52.54291,13.34926
2024-03-29,010 WEDDING,12,52.54291,13.34926
2024-03-30,010 WEDDING,34,52.54291,13.34926
2024-03-31,010 WEDDING,31,52.54291,13.34926
2024-04-01,010 WEDDING,12,52.54291,13.34926
2024-04-02,010 WEDDING,15,52.54291,13.34926
2024-04-03,010 WEDDING,22,52.54291,13.34926
2024-04-04,010 WEDDING,16,52.54291,13.34926
2024-04-05,010 WEDDING,14,52.54291,13.34926
2024-04-06,010 WEDDING,17,52.54291,13.34926
2024-04-07,010 WEDDING,19,52.54291,13.34926
2024-04-08,010 WEDDING,35,52.54291,13.34926
2024-04-09,010 WEDDING,23,52.54291,13.34926
2024-04-10,010 WEDDING,22,52.54291,13.34926
2024-04-11,010 WEDDING,22,52.54291,13.34926
2024-04-12,010 WEDDING,18,52.54291,13.34926
2024-04-13,010 WEDDING,12,52.54291,13.34926
2024-04-14,010 WEDDING,16,52.54291,13.34926
2024-04-15,010 WEDDING,18,52.54291,13.34926
2024-04-16,010 WEDDING,15,52.54291,13.34926
2024-04-17,010 WEDDING,13,52.54291,13.34926
2024-04-18,010 WEDDING,22,52.54291,13.34926
2023-04-20,018 SCHÖNEBERG,16,52.48579,13.34885
2023-04-21,018 SCHÖNEBERG,14,52.48579,13.34885
2023-04-22,018 SCHÖNEBERG,17,52.48579,13.34885
2023-04-23,018 SCHÖNEBERG,12,52.48579,13.34885
2023-04-24,018 SCHÖNEBERG,10,52.48579,13.34885
2023-04-25,018 SCHÖNEBERG,6,52.48579,13.34885
2023-04-26,018 SCHÖNEBERG,8,52.48579,13.34885
2023-04-27,018 SCHÖNEBERG,15,52.48579,13.34885
